"Date (TU),""Valeur (en m³/s)"",""Statut"",""Qualification"",""Méthode"",""Continuité"""
"2014-10-09T00:00:00.000Z,""916"",""4"",16,8,0"
"2014-10-10T00:00:00.000Z,""913"",""4"",16,8,0"
"2014-10-11T00:00:00.000Z,""942"",""4"",16,8,0"
"2014-10-12T00:00:00.000Z,""914"",""4"",16,8,0"
"2014-10-13T00:00:00.000Z,""908"",""4"",16,8,0"
"2014-10-14T00:00:00.000Z,""894"",""4"",16,8,0"
"2014-10-15T00:00:00.000Z,""964"",""4"",16,8,0"
"2014-10-16T00:00:00.000Z,""985"",""4"",16,8,0"
"2014-10-17T00:00:00.000Z,""1070"",""4"",16,8,0"
"2014-10-18T00:00:00.000Z,""1110"",""4"",16,8,0"
"2014-10-19T00:00:00.000Z,""1000"",""4"",16,8,0"
"2014-10-20T00:00:00.000Z,""939"",""4"",16,8,0"
"2014-10-21T00:00:00.000Z,""1090"",""4"",16,8,0"
"2014-10-22T00:00:00.000Z,""1270"",""4"",16,8,0"
"2014-10-23T00:00:00.000Z,""1320"",""4"",16,8,0"
"2014-10-24T00:00:00.000Z,""1270"",""4"",16,8,0"
"2014-10-25T00:00:00.000Z,""1180"",""4"",16,8,0"
"2014-10-26T00:00:00.000Z,""1140"",""4"",16,8,0"
"2014-10-27T00:00:00.000Z,""1140"",""4"",16,8,0"
"2014-10-28T00:00:00.000Z,""1090"",""4"",16,8,0"
"2014-10-29T00:00:00.000Z,""1070"",""4"",16,8,0"
"2014-10-30T00:00:00.000Z,""1070"",""4"",16,8,0"
"2014-10-31T00:00:00.000Z,""1090"",""4"",16,8,0"
"2014-11-01T00:00:00.000Z,""998"",""4"",16,8,0"
"2014-11-02T00:00:00.000Z,""1010"",""4"",16,8,0"
"2014-11-03T00:00:00.000Z,""964"",""4"",16,8,0"
"2014-11-04T00:00:00.000Z,""918"",""4"",16,8,0"
"2014-11-05T00:00:00.000Z,""1030"",""4"",16,8,0"
"2014-11-06T00:00:00.000Z,""1370"",""4"",16,8,0"
"2014-11-07T00:00:00.000Z,""1320"",""4"",16,8,0"
"2014-11-08T00:00:00.000Z,""1170"",""4"",16,8,0"
"2014-11-09T00:00:00.000Z,""1120"",""4"",16,8,0"
"2014-11-10T00:00:00.000Z,""1090"",""4"",16,8,0"
"2014-11-11T00:00:00.000Z,""1080"",""4"",16,8,0"
"2014-11-12T00:00:00.000Z,""1030"",""4"",16,8,0"
"2014-11-13T00:00:00.000Z,""1210"",""4"",16,8,0"
"2014-11-14T00:00:00.000Z,""1240"",""4"",16,8,0"
"2014-11-15T00:00:00.000Z,""1180"",""4"",16,8,0"
"2014-11-16T00:00:00.000Z,""1620"",""4"",16,8,0"
"2014-11-17T00:00:00.000Z,""1840"",""4"",16,8,0"
"2014-11-18T00:00:00.000Z,""1700"",""4"",16,8,0"
"2014-11-19T00:00:00.000Z,""1640"",""4"",16,8,0"
"2014-11-20T00:00:00.000Z,""1540"",""4"",16,8,0"
"2014-11-21T00:00:00.000Z,""1470"",""4"",16,8,0"
"2014-11-22T00:00:00.000Z,""1340"",""4"",16,8,0"
"2014-11-23T00:00:00.000Z,""1220"",""4"",16,8,0"
"2014-11-24T00:00:00.000Z,""1210"",""4"",16,8,0"
